CODIGO CIE,CODIGO INEP,DIRETORIA,ESCOLA,MUNICIPIO,NIVEL ENSINO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
001995,35001995,LESTE 5,JULIA AMALIA AZEVEDO ANTUNES PROFESSORA                     ,SAO PAULO,ANOS INICIAIS,4.95,4.65,5.25,5.35,5.20,5.04,5.78,5.58,6.86,6.86,6.72,6.33
002045,35002045,LESTE 5,ALVINO BITTENCOURT PROFESSOR                                ,SAO PAULO,ANOS INICIAIS,2.96,2.74,5.63,4.59,4.15,4.84,5.29,5.30,5.83,6.09,5.56,7.36
002446,35002446,LESTE 1,JOSE DE CAMPOS CAMARGO PROFESSOR                            ,SAO PAULO,ANOS INICIAIS,3.33,3.21,3.84,4.38,4.88,4.44,4.08,4.60,5.90,6.36,6.88,6.24
002732,35002732,LESTE 1,IRENE BRANCO DA SILVA PROFESSORA                            ,SAO PAULO,ANOS INICIAIS,3.04,2.12,2.95,3.35,3.68,2.74,4.06,3.81,4.71,4.55,4.92,4.57
002781,35002781,LESTE 1,JOSE DE CARVALHO PADRE                                      ,SAO PAULO,ANOS INICIAIS,3.77,3.24,4.04,3.87,4.14,4.44,4.04,4.84,5.96,5.56,5.06,6.03
002896,35002896,LESTE 1,GALILEO EMENDABILI ESCULTOR                                 ,SAO PAULO,ANOS INICIAIS,3.05,3.19,3.73,3.82,4.61,4.23,4.27,5.68,5.36,5.54,6.61,5.94
002963,35002963,LESTE 2,JOSE BONIFACIO ANDRADA E SILVA JARDIM PROF                  ,SAO PAULO,ANOS INICIAIS,1.78,1.91,2.62,2.82,2.91,3.37,3.01,,,,,
002999,35002999,LESTE 2,SHINQUICHI AGARI                                            ,SAO PAULO,ANOS INICIAIS,3.30,3.10,3.49,3.13,3.71,4.21,2.89,4.06,,4.70,5.07,4.76
003013,35003013,LESTE 2,DIOGO DE FARIA DR                                           ,SAO PAULO,ANOS INICIAIS,3.00,2.89,3.86,3.46,3.65,3.60,4.42,4.60,4.83,5.49,5.14,5.67
003049,35003049,LESTE 2,ANTONIO DE PADUA VIEIRA                                     ,SAO PAULO,ANOS INICIAIS,2.86,2.82,3.77,4.18,4.20,4.29,4.71,5.07,5.76,6.13,5.85,5.95
003050,35003050,LESTE 2,ELIZA RAQUEL MACEDO DE SOUZA PROFA                          ,SAO PAULO,ANOS INICIAIS,2.61,2.09,2.07,2.56,,,,,,,,
003281,35003281,LESTE 2,BALBINA NETTO VELLOSO PROFA                                 ,SAO PAULO,ANOS INICIAIS,2.19,2.89,3.82,2.95,3.55,3.64,2.97,3.77,3.75,4.20,4.12,4.44
003300,35003300,LESTE 4,ALFREDO ASHCAR PROF                                         ,SAO PAULO,ANOS INICIAIS,3.96,3.84,4.22,4.60,4.38,4.22,4.20,4.95,5.59,5.33,4.95,5.26
003414,35003414,CENTRO,ANTONIO PRADO CONSELHEIRO                                   ,SAO PAULO,ANOS INICIAIS,3.44,3.62,3.77,3.88,3.48,3.87,3.80,4.56,4.60,5.64,5.13,4.88
003517,35003517,CENTRO OESTE,MARINA CERQUEIRA CESAR PROFESSORA                           ,SAO PAULO,ANOS INICIAIS,4.66,4.25,5.16,4.39,4.70,5.62,4.48,6.03,5.60,5.55,6.10,6.08
004085,35004085,CENTRO OESTE,CLORINDA DANTI PROFESSORA                                   ,SAO PAULO,ANOS INICIAIS,1.94,2.42,3.80,2.15,2.87,2.84,2.94,3.55,3.71,4.43,3.87,4.65
004200,35004200,CENTRO OESTE,ADOLFINO DE ARRUDA CASTANHO PROFESSOR                       ,SAO PAULO,ANOS INICIAIS,3.06,3.37,3.97,2.64,3.34,3.74,4.74,4.21,5.32,5.22,4.82,4.92
004285,35004285,CENTRO SUL,JACQUES MARITAIN                                            ,SAO PAULO,ANOS INICIAIS,2.93,3.86,4.06,3.50,4.55,4.15,4.50,4.98,7.53,6.40,5.43,5.44
004303,35004303,CENTRO SUL,ADELINA ISSA ASHCAR                                         ,SAO PAULO,ANOS INICIAIS,3.42,3.53,3.49,4.48,5.42,4.75,5.46,5.53,5.54,5.88,6.78,5.97
000127,35000127,NORTE 1,JOSE ALTENFELDER SILVA PROFESSOR                            ,SAO PAULO,ANOS INICIAIS,3.95,3.87,4.28,4.52,4.22,4.14,4.21,4.88,6.01,5.69,5.74,5.78
000152,35000152,NORTE 1,OCTAVIO MONTEIRO DE CASTRO PROFESSOR                        ,SAO PAULO,ANOS INICIAIS,3.87,3.53,3.67,4.58,4.53,4.62,5.13,6.01,6.10,4.79,5.20,5.16
000681,35000681,CENTRO,TOLEDO BARBOSA                                              ,SAO PAULO,ANOS INICIAIS,3.37,3.46,3.54,2.99,4.72,4.13,4.70,4.58,4.54,5.35,5.53,5.84
000863,35000863,NORTE 2,JOSE MARCELINO DA FONSECA MAJOR                             ,SAO PAULO,ANOS INICIAIS,5.42,5.53,6.68,6.81,6.43,6.72,6.49,6.76,7.10,7.94,7.28,7.45
001120,35001120,CENTRO,EXPEDICIONARIO BRASILEIRO                                   ,SAO PAULO,ANOS INICIAIS,5.10,5.35,5.85,5.96,6.31,6.39,5.84,5.66,6.52,6.32,7.01,6.54
001181,35001181,NORTE 2,RAFAEL DE MORAES LIMA PROF                                  ,SAO PAULO,ANOS INICIAIS,3.56,2.95,4.05,3.91,6.58,6.16,5.50,4.93,5.63,5.96,5.44,6.80
001338,35001338,NORTE 2,MARIA ANGELITA SAYAGO LAET PROFA                            ,SAO PAULO,ANOS INICIAIS,3.20,3.58,3.40,3.46,3.84,4.51,4.34,4.87,4.87,5.27,5.60,5.79
001399,35001399,LESTE 5,PAULO MONTE SERRAT PROFESSOR                                ,SAO PAULO,ANOS INICIAIS,3.97,4.76,4.60,5.48,5.45,5.42,4.70,5.70,6.30,6.64,6.19,6.22
001806,35001806,LESTE 5,JOY ARRUDA DOUTOR                                           ,SAO PAULO,ANOS INICIAIS,3.62,3.89,3.70,5.10,5.34,5.38,6.11,5.84,6.49,7.04,6.33,6.26
001867,35001867,LESTE 5,LUIZA MENDES CORREA SOUZA PROFESSORA                        ,SAO PAULO,ANOS INICIAIS,3.89,3.40,4.09,3.90,4.01,4.26,5.58,4.31,5.20,5.59,5.71,5.18
001892,35001892,CENTRO SUL,REPUBLICA DO PARAGUAY                                       ,SAO PAULO,ANOS INICIAIS,3.26,3.76,3.87,4.07,5.24,5.43,6.03,8.48,,,5.62,6.85
002124,35002124,LESTE 5,CARLOS ESCOBAR                                              ,SAO PAULO,ANOS INICIAIS,3.09,2.81,3.30,3.86,5.52,6.50,3.42,3.36,4.57,5.10,5.04,4.55
002367,35002367,LESTE 4,OLGA MARINOVIC DORO PROFA                                   ,SAO PAULO,ANOS INICIAIS,3.45,3.58,4.07,5.13,4.79,5.48,5.96,6.61,6.70,6.38,6.20,6.34
002392,35002392,LESTE 1,JOSE BARTOCCI PROFESSOR                                     ,SAO PAULO,ANOS INICIAIS,3.44,3.73,4.25,4.37,4.34,4.70,4.01,4.17,5.29,5.49,5.35,5.48
002410,35002410,LESTE 1,THEODOMIRO EMERIQUE PROFESSOR                               ,SAO PAULO,ANOS INICIAIS,4.10,4.09,5.00,4.83,4.78,4.94,5.13,4.70,6.11,5.68,5.58,5.72
002860,35002860,LESTE 2,ESTELA BORGES MORATO                                        ,SAO PAULO,ANOS INICIAIS,2.47,2.71,2.91,3.00,3.07,3.85,3.46,4.76,4.25,4.86,4.97,4.62
003128,35003128,LESTE 3,DECIO FERRAZ ALVIM PROFESSOR DOUTOR                         ,SAO PAULO,ANOS INICIAIS,2.52,2.93,2.85,3.30,3.18,3.65,3.53,3.88,4.35,5.44,5.80,4.77
003335,35003335,LESTE 4,WALTER BELIAN                                               ,SAO PAULO,ANOS INICIAIS,3.25,4.03,4.06,4.65,4.86,4.92,4.93,5.88,6.22,6.03,5.38,6.40
003360,35003360,CENTRO OESTE,ALFREDO PAULINO                                             ,SAO PAULO,ANOS INICIAIS,3.55,3.54,6.17,5.67,5.89,6.43,5.89,6.26,7.77,6.99,7.29,8.09
003621,35003621,CENTRO,PRUDENTE DE MORAES                                          ,SAO PAULO,ANOS INICIAIS,3.56,3.40,4.05,3.50,3.18,3.72,3.65,4.31,4.95,4.31,4.37,5.09
003803,35003803,CENTRO OESTE,VICTOR OLIVA PROFESSOR                                      ,SAO PAULO,ANOS INICIAIS,2.75,2.54,3.64,5.13,4.64,5.44,7.30,7.17,6.15,6.03,5.62,6.16
003864,35003864,CENTRO OESTE,CECILIANO JOSE ENNES PROFESSOR                              ,SAO PAULO,ANOS INICIAIS,3.12,2.99,4.34,3.97,4.33,3.51,4.60,5.80,6.63,5.76,5.74,6.05
004078,35004078,CENTRO OESTE,CESAR MARTINEZ                                              ,SAO PAULO,ANOS INICIAIS,5.16,5.42,5.13,5.86,5.85,5.63,4.74,5.78,7.05,6.62,6.72,6.94
004364,35004364,CENTRO SUL,ASTROGILDO SILVA PROFESSOR                                  ,SAO PAULO,ANOS INICIAIS,2.41,2.70,2.89,3.08,3.46,3.43,3.92,5.24,5.40,5.31,6.01,5.99
004571,35004571,CENTRO OESTE,PAULO ROSSI PROFESSOR                                       ,SAO PAULO,ANOS INICIAIS,4.11,5.19,5.12,5.85,5.25,5.00,6.04,5.27,4.58,5.87,6.11,5.95
004789,35004789,CENTRO SUL,ANTONIO CASTELAR DE FRANCESCHI                              ,SAO PAULO,ANOS INICIAIS,4.35,4.51,5.10,4.95,4.45,4.49,4.76,4.46,6.17,7.00,6.57,7.21
004900,35004900,SUL 1,JOANNA ABRAHAO PROFESSORA                                   ,SAO PAULO,ANOS INICIAIS,2.19,2.60,2.18,2.23,2.83,3.04,2.68,2.99,3.25,3.99,4.01,4.36
005125,35005125,SUL 1,PAULO EIRO                                                  ,SAO PAULO,ANOS INICIAIS,3.07,2.79,3.98,3.77,4.48,5.17,5.52,4.12,6.03,5.32,5.57,6.18
005150,35005150,SUL 1,MANUEL BORBA GATO                                           ,SAO PAULO,ANOS INICIAIS,3.54,4.11,4.03,4.65,4.57,4.62,4.70,5.05,5.13,6.07,5.78,6.16
005332,35005332,SUL 3,ERNESTINO LOPES DA SILVA PROF                               ,SAO PAULO,ANOS INICIAIS,3.02,3.58,4.85,4.26,4.24,5.07,5.90,5.92,5.54,7.61,6.31,6.88
005393,35005393,SUL 3,JUVENTINA MARCONDES DOMINGUES DE CASTRO PROFA               ,SAO PAULO,ANOS INICIAIS,2.10,1.93,2.24,2.59,3.15,3.19,3.47,3.75,4.93,4.35,3.58,4.11
005400,35005400,SUL 2,ALFREDO VIANELLO GREGORIO COMENDADOR                        ,SAO PAULO,ANOS INICIAIS,2.39,2.87,2.96,3.76,3.25,2.73,3.51,4.36,,5.53,4.69,6.40
004418,35004418,CENTRO SUL,NOSSA SENHORA APARECIDA                                     ,SAO PAULO,ANOS INICIAIS,2.91,2.44,3.19,3.53,3.66,3.16,2.68,4.29,5.61,5.31,5.23,4.35
004467,35004467,CENTRO SUL,GOMES CARDIM PROFESSOR                                      ,SAO PAULO,ANOS INICIAIS,4.11,4.06,5.35,4.35,5.53,4.88,5.57,5.01,5.78,5.09,7.62,6.31
004753,35004753,SUL 1,NELSON FERNANDES DEPUTADO                                   ,SAO PAULO,ANOS INICIAIS,4.90,4.32,4.79,4.49,4.92,5.05,5.10,5.63,6.29,5.56,5.36,5.36
004935,35004935,SUL 1,DULCE CARNEIRO PROFESSORA                                   ,SAO PAULO,ANOS INICIAIS,4.21,4.49,3.81,4.05,4.31,4.19,4.40,5.26,5.16,4.96,5.61,5.25
005022,35005022,SUL 1,JUVENTINA PATRICIA SANT ANA PROFESSORA                      ,SAO PAULO,ANOS INICIAIS,3.54,3.72,4.26,3.58,4.10,4.32,4.96,4.67,5.25,5.61,5.56,5.67
005236,35005236,SUL 2,MARIA PECCIOLI GIANNASI PROFESSORA                          ,SAO PAULO,ANOS INICIAIS,2.32,2.35,3.13,2.53,2.72,3.19,3.13,3.92,,3.97,4.06,4.09
005253,35005253,SUL 2,JOAO DE DEUS CARDOSO DE MELLO                               ,SAO PAULO,ANOS INICIAIS,2.66,2.53,3.30,2.99,2.66,3.45,4.09,3.88,4.02,4.64,4.51,5.08
005472,35005472,SUL 2,SINHA PANTOJA                                               ,SAO PAULO,ANOS INICIAIS,3.06,3.02,3.42,3.44,3.77,3.57,6.08,5.17,,4.05,5.46,5.69
005654,35005654,CAIEIRAS,ADAMASTOR BAPTISTA PROF                                     ,FRANCO DA ROCHA,ANOS INICIAIS,2.11,2.23,3.09,2.54,2.24,2.77,3.14,2.61,3.94,5.36,4.70,
005939,35005939,GUARULHOS NORTE,PLINIO PAULO BRAGA PROFESSOR                                ,GUARULHOS,ANOS INICIAIS,2.54,2.37,3.66,3.42,,3.75,,,4.47,,,
005940,35005940,GUARULHOS SUL,IRMA CELESTE LAR                                            ,GUARULHOS,ANOS INICIAIS,2.27,2.90,3.93,4.42,3.77,4.80,4.27,6.13,5.54,5.64,5.53,6.60
006440,35006440,GUARULHOS SUL,OSWALDO SAMPAIO ALVES                                       ,GUARULHOS,ANOS INICIAIS,2.88,2.67,3.31,3.64,4.42,3.67,3.48,3.93,4.16,4.19,4.07,3.68
006658,35006658,MOGI DAS CRUZES,LEONOR DE OLIVEIRA MELLO                                    ,MOGI DAS CRUZES,ANOS INICIAIS,3.33,3.60,3.43,2.89,3.71,4.62,3.98,3.48,,,,
006890,35006890,MOGI DAS CRUZES,ANTONIO OLEGARIO DOS SANTOS CARDOSO                         ,MOGI DAS CRUZES,ANOS INICIAIS,2.51,2.03,4.77,4.13,3.58,4.04,4.85,,,,,
006907,35006907,MOGI DAS CRUZES,MARIA ISABEL DOS SANTOS MELLO PROFESSORA                    ,MOGI DAS CRUZES,ANOS INICIAIS,2.78,2.19,3.18,3.13,4.88,3.27,4.00,3.28,,,,
006944,35006944,SUZANO,MANUEL DOS SANTOS PAIVA                                     ,SUZANO,ANOS INICIAIS,3.45,3.42,5.09,4.99,4.05,4.50,5.07,5.11,5.27,4.99,5.30,5.83
006993,35006993,SUZANO,ROBERTO BIANCHI                                             ,SUZANO,ANOS INICIAIS,1.81,1.80,3.31,5.95,2.84,2.60,2.88,2.80,4.02,3.52,4.02,3.61
007043,35007043,SUZANO,ZEIKICHI FUKUOKA                                            ,SUZANO,ANOS INICIAIS,3.46,3.76,4.24,3.70,4.25,3.93,3.49,4.29,5.78,4.86,5.26,6.63
007158,35007158,SUZANO,HELENA ZERRENNER                                            ,SUZANO,ANOS INICIAIS,3.38,2.66,2.21,3.24,3.22,3.47,2.94,4.38,4.20,4.43,5.04,4.67
007511,35007511,DIADEMA,ARLINDO BETIO                                               ,DIADEMA,ANOS INICIAIS,3.43,3.79,4.30,4.67,4.46,4.24,5.85,6.51,6.63,7.94,6.90,5.95
007626,35007626,MAUA,EMILIO SORTINO COMENDADOR                                   ,RIBEIRAO PIRES,ANOS INICIAIS,4.61,4.61,5.06,5.52,5.71,5.05,5.73,5.11,6.70,6.11,6.17,6.70
007812,35007812,MAUA,CLODOALDO PORTUGAL CARIBE                                   ,MAUA,ANOS INICIAIS,3.78,3.61,4.58,5.89,6.37,6.15,5.66,6.13,6.21,6.24,6.10,5.95
007894,35007894,MAUA,AFONSO ARINOS SENADOR                                       ,RIBEIRAO PIRES,ANOS INICIAIS,1.91,2.01,4.24,4.44,4.13,6.36,5.97,5.60,4.41,5.28,6.26,5.34
007912,35007912,MAUA,JOAO GAUDENCIO MAININE PROFESSOR                            ,RIBEIRAO PIRES,ANOS INICIAIS,3.77,3.94,4.33,5.18,5.48,5.49,5.41,5.53,6.47,5.54,6.04,6.35
007961,35007961,MAUA,FELICIO LAURITO DOUTOR                                      ,RIBEIRAO PIRES,ANOS INICIAIS,2.76,3.33,3.95,2.88,4.04,4.52,2.48,3.41,3.59,8.33,5.61,5.28
008047,35008047,SANTO ANDRE,PAULO SINNA PROFESSOR                                       ,SANTO ANDRE,ANOS INICIAIS,4.01,3.84,4.25,3.71,3.33,4.14,4.55,5.10,4.82,5.54,5.21,5.73
008230,35008230,SANTO ANDRE,ANTONIO DE CAMPOS GONCALVES PROFESSOR                       ,SANTO ANDRE,ANOS INICIAIS,4.06,3.29,4.94,4.55,4.79,4.51,4.74,6.45,6.10,5.86,6.17,6.48
008394,35008394,SANTO ANDRE,HERMINIA LOPES LOBO PROFESSORA                              ,SANTO ANDRE,ANOS INICIAIS,3.45,4.06,4.80,5.10,5.44,5.32,4.95,4.80,5.85,6.02,5.65,6.10
008412,35008412,SANTO ANDRE,LOUIS JOSEPH LEBRET PADRE                                   ,SANTO ANDRE,ANOS INICIAIS,2.82,3.34,2.79,3.30,3.82,3.56,3.43,5.78,7.55,6.20,5.38,6.39
008515,35008515,SANTO ANDRE,JOAO DE BARROS PINTO PROF                                   ,SANTO ANDRE,ANOS INICIAIS,1.52,2.75,2.67,,,,,,,,,
008597,35008597,SANTO ANDRE,LACERDA FRANCO SENADOR                                      ,SANTO ANDRE,ANOS INICIAIS,2.42,2.17,2.70,2.74,,,,,,,,
008680,35008680,SANTO ANDRE,MARIA DA PENHA DE ALMEIDA MANFREDI PROFA                    ,SANTO ANDRE,ANOS INICIAIS,3.92,3.88,3.85,,,,,,,,,
000085,35000085,NORTE 1,JULIO CESAR DE OLIVEIRA PROFESSOR                           ,SAO PAULO,ANOS INICIAIS,3.69,4.03,4.58,4.51,3.76,5.20,4.91,5.54,5.78,6.61,5.89,6.06
000619,35000619,NORTE 1,REGENTE FEIJO                                               ,SAO PAULO,ANOS INICIAIS,4.27,4.16,4.55,3.68,5.00,4.60,3.81,4.64,4.81,4.50,5.79,5.36
001053,35001053,NORTE 2,LUIZ AMARAL WAGNER PROF                                     ,SAO PAULO,ANOS INICIAIS,3.94,3.64,3.29,3.77,4.66,4.49,4.77,4.29,4.55,4.39,4.10,5.33
001089,35001089,NORTE 2,GABRIELA MISTRAL                                            ,SAO PAULO,ANOS INICIAIS,,,2.81,2.91,3.21,3.69,4.05,4.70,3.51,5.16,5.50,3.97
001223,35001223,NORTE 2,MARIA PAULA MARCONDES DOMINGUES PROFA                       ,SAO PAULO,ANOS INICIAIS,4.48,4.41,5.05,5.48,5.86,5.22,5.08,5.63,7.12,5.66,6.65,6.01
001430,35001430,LESTE 5,ANDRE OHL                                                   ,SAO PAULO,ANOS INICIAIS,4.71,5.00,5.35,5.88,5.83,5.08,5.96,5.10,6.11,6.28,6.34,6.36
001521,35001521,CENTRO,PAULO LUIG FREI                                             ,SAO PAULO,ANOS INICIAIS,,,4.34,3.90,3.29,4.21,4.89,4.69,5.43,5.57,5.65,4.98
001764,35001764,CENTRO SUL,ANNITA ATALLA PROFESSORA                                    ,SAO PAULO,ANOS INICIAIS,3.27,3.46,3.94,4.03,4.98,4.80,5.59,5.12,5.83,6.41,6.40,6.35
002100,35002100,LESTE 5,ERASMO BRAGA                                                ,SAO PAULO,ANOS INICIAIS,3.42,4.37,4.19,4.75,6.46,6.42,5.61,5.28,6.18,6.08,6.69,6.42
002768,35002768,LESTE 1,VALACE MARQUES PROFESSOR                                    ,SAO PAULO,ANOS INICIAIS,2.76,1.94,3.12,2.79,3.33,3.30,,4.58,3.17,4.00,4.35,5.04
002859,35002859,LESTE 2,MARIO KOZEL FILHO                                           ,SAO PAULO,ANOS INICIAIS,,2.95,2.70,2.93,3.26,3.27,3.20,3.20,4.09,3.86,4.01,3.90
003136,35003136,LESTE 4,LINA DA COSTA COUTO PROFA                                   ,SAO PAULO,ANOS INICIAIS,2.52,2.65,3.31,2.98,4.00,4.06,4.34,4.79,4.67,5.82,4.77,5.40
003268,35003268,LESTE 3,SEBASTIAO FARIA ZIMBRES PROFESSOR                           ,SAO PAULO,ANOS INICIAIS,2.24,,2.90,2.76,2.42,2.60,2.41,2.62,,,,
003293,35003293,LESTE 1,THALES CASTANHO DE ANDRADE PROFESSOR                        ,SAO PAULO,ANOS INICIAIS,2.71,2.64,4.16,3.83,3.72,3.78,3.69,3.91,4.72,5.88,4.69,5.53
003463,35003463,CENTRO OESTE,REINALDO RIBEIRO DA SILVA DOUTOR                            ,SAO PAULO,ANOS INICIAIS,3.38,3.71,3.97,4.30,3.75,3.16,3.56,,,,,
003736,35003736,CENTRO OESTE,LUDOVINA CREDIDIO PEIXOTO                                   ,SAO PAULO,ANOS INICIAIS,3.55,3.83,4.99,4.59,4.58,4.27,3.85,4.13,4.67,5.85,5.77,5.45
003897,35003897,CENTRO OESTE,ALFREDO BRESSER                                             ,SAO PAULO,ANOS INICIAIS,3.28,3.57,3.36,4.56,4.39,4.76,4.29,5.45,5.80,4.17,5.97,5.32
004029,35004029,CENTRO OESTE,FLAVIA VIZIBELI PIRRO PROFESSORA                            ,SAO PAULO,ANOS INICIAIS,1.82,2.06,1.87,2.90,3.19,2.43,2.53,3.24,4.20,3.40,4.52,4.31
004340,35004340,CENTRO SUL,ROOSEVELT PRESIDENTE                                        ,SAO PAULO,ANOS INICIAIS,2.76,3.08,3.81,4.32,3.59,3.78,3.90,4.31,5.31,5.98,4.46,5.00
004397,35004397,CENTRO SUL,JOSE ESCOBAR PROFESSOR                                      ,SAO PAULO,ANOS INICIAIS,3.38,3.65,3.38,5.09,4.83,5.31,4.49,5.48,6.33,5.59,4.83,5.45
004406,35004406,CENTRO SUL,MILDRE ALVARES BIAGGI PROFESSORA                            ,SAO PAULO,ANOS INICIAIS,2.58,3.89,3.92,4.62,4.38,3.99,,4.85,6.29,5.83,5.49,6.16
004765,35004765,CENTRO OESTE,BARROSO ALMIRANTE                                           ,SAO PAULO,ANOS INICIAIS,4.42,3.76,3.97,4.26,4.59,4.85,4.05,4.47,4.89,5.02,4.93,5.48
004972,35004972,SUL 1,NIPO BRASILEIRA                                             ,SAO PAULO,ANOS INICIAIS,3.88,4.11,4.45,4.22,3.95,4.25,4.66,5.30,5.25,5.46,5.40,5.02
005174,35005174,SUL 1,LUIS ARROBAS MARTINS DOUTOR                                 ,SAO PAULO,ANOS INICIAIS,4.84,6.12,6.12,6.51,6.70,6.34,7.56,5.91,6.61,6.64,6.08,6.26
005599,35005599,CAIEIRAS,OLINDO DARTORA DR                                           ,CAIEIRAS,ANOS INICIAIS,3.04,2.42,2.82,3.46,4.41,4.68,4.12,4.71,,4.64,,3.89
005708,35005708,CAIEIRAS,DOMINGOS CAMBIAGHI PROF                                     ,FRANCO DA ROCHA,ANOS INICIAIS,3.48,2.96,3.77,3.28,4.39,4.89,4.72,5.56,5.40,5.51,,6.22
005903,35005903,GUARULHOS NORTE,MARIA HELENA FARIA LIMA E CUNHA                             ,GUARULHOS,ANOS INICIAIS,1.86,2.95,2.90,2.50,,,,,,,,
005976,35005976,GUARULHOS NORTE,MARIA HELENA BARBOSA MARTINS PROFESSORA                     ,GUARULHOS,ANOS INICIAIS,2.18,2.34,3.08,4.18,2.92,3.36,,,,,,
006212,35006212,GUARULHOS SUL,CLARICE LISPECTOR                                           ,GUARULHOS,ANOS INICIAIS,3.45,3.56,3.68,3.87,4.13,4.07,3.22,5.43,6.04,4.67,5.44,5.15
006610,35006610,MOGI DAS CRUZES,SENTARO TAKAOKA DOUTOR                                      ,MOGI DAS CRUZES,ANOS INICIAIS,3.26,2.21,4.04,4.96,6.43,4.93,4.07,3.98,5.69,5.09,5.79,5.64
006646,35006646,MOGI DAS CRUZES,PEDRO MALOZZE                                               ,MOGI DAS CRUZES,ANOS INICIAIS,3.04,4.04,3.00,4.87,5.39,4.25,3.98,4.23,6.16,7.86,4.86,4.48
006671,35006671,MOGI DAS CRUZES,JOAO CARDOSO DOS SANTOS PROFESSOR                           ,MOGI DAS CRUZES,ANOS INICIAIS,3.26,2.99,3.18,4.22,4.32,4.40,4.39,3.56,5.58,5.27,6.24,7.66
005575,35005575,CAIEIRAS,ALBERTO GRAF CAPITAO                                        ,CAIEIRAS,ANOS INICIAIS,2.14,2.40,2.36,3.24,3.63,2.53,,,,,,
005800,35005800,GUARULHOS NORTE,JOAQUIM GARCIA SALVADOR PROFESSOR                           ,GUARULHOS,ANOS INICIAIS,2.78,1.86,2.74,2.98,4.10,3.59,3.98,3.59,4.61,4.54,4.17,5.25
006129,35006129,GUARULHOS SUL,FRANCISCA BATISTA TRINDADE PROFESSORA                       ,GUARULHOS,ANOS INICIAIS,3.64,3.57,5.62,5.80,5.92,6.18,6.23,5.81,6.20,5.42,5.57,5.78
006336,35006336,GUARULHOS SUL,JOAO DE ALMEIDA BARBOSA                                     ,GUARULHOS,ANOS INICIAIS,,2.33,2.77,2.54,4.44,3.93,,4.60,4.54,4.50,5.02,4.96
006361,35006361,GUARULHOS SUL,ROBERTO HIPOLITO DA COSTA BRIGADEIRO DO AR                  ,GUARULHOS,ANOS INICIAIS,3.77,3.49,3.58,4.30,5.05,5.32,5.33,5.70,6.35,6.67,5.92,6.55
